Name
Lopamudra
Maitreyi
Ghosha
Gargi Vachaknavi
Theano of Croton
Aristoclea of Delphi
Khujjuttarā
Aspasia of Miletus
Arete of Cyrene
Hipparchia of Maroneia
Nicarete of Megara
Ptolemais of Cyrene
Aesara of Lucania
Diotima of Mantinea
Ban Zhao
Catherine of Alexandria
Sosipatra of Ephesus
Xie Daoyun
Hypatia
Aedesia
Theodora
Ubhaya Bharati
Héloïse d'Argenteuil
Akka Mahadevi
Marguerite Porete
Tullia d'Aragona
Lalleshwari
Catherine of Siena
Christine de Pizan
Moderata Fonte
Hildegard of Bingen
Teresa of Ávila
Marie de Gournay
Anna Maria van Schurman
Madeleine de Scudéry
Gabrielle Suchon
Madame de Maintenon
Mary Astell
Damaris Cudworth Masham
Laura Bassi
Harriet Martineau
Helena Blavatsky
Frances Power Cobbe
Antoinette Brown Blackwell
Margaret Cavendish
Émilie du Châtelet
Sister Nivedita
Catharine Trotter Cockburn
Anne Conway
George Eliot
Elisabeth of Bohemia
Sor Juana Inés de la Cruz
Mary Wollstonecraft
Sophie de Grouchy
Germaine de Staël
Felicia Nimue Ackerman
Marilyn McCord Adams
Alia Al-Saji
Lilli Alanen
Linda Martín Alcoff
Amy Allen
Alice Ambrose
Elizabeth Anderson
Lou Andreas-Salomé
Julia Annas
G. E. M. Anscombe
Louise Antony
Hannah Arendt
Nomy Arpaly
Anita Avramides
Babette Babich
Annette Baier
Dorit Bar-On
Marcia Baron
Lauren Barthold
Sandra Bartky
Nancy Bauer
Simone de Beauvoir
Helen Beebee
Seyla Benhabib
Tina Fernandes Botts
Peg Birmingham
Susanne Bobzien
Samantha Brennan
Janet Broughton
Kimberley Brownlee
Teresa Blankmeyer Burke
Inga Bostad
Giannina Braschi
Judith Butler
Mary Whiton Calkins
Joan Callahan
Agnes Callard
Elisabeth Camp
Victoria Camps
Claudia Card
Nancy Cartwright
Barbara Cassin
Ruth Chang
Patricia Churchland
Hélène Cixous
Lorraine Code
Joyce Mitchell Cook
